Room,6C:94:F8:E2:37:2E,68:14:01:8F:1A:12,08:66:98:E3:26:67,29:FC:0B:8E:DA:F6,1C:11:83:85:1B:AB,04:52:C7:81:97:8F,4A:BA:4E:6A:6B:A5,50:32:37:87:6A:F3,30:A4:DE:FD:B4:35,08:66:98:F2:67:D6,04:52:C7:BF:5E:0B,62:FA:28:E7:56:EE,49:32:06:C8:B2:19,EC:31:33:87:40:B6,A4:D1:8C:6A:2B:79,5E:3E:C4:0F:3F:9E
Room336,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
Room336,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
Room336,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
400ML2,-95,-120,-120,-120,-79,-120,-120,-87,-120,-120,-91,-120,-120,-120,-120,-120
400ML2,-95,-120,-120,-120,-79,-120,-120,-87,-120,-120,-91,-120,-120,-120,-120,-120
400ML2,-95,-120,-120,-120,-79,-120,-120,-87,-120,-120,-91,-120,-120,-120,-120,-120
Lobby4,-120,-120,-120,-120,-102,-120,-120,-99,-120,-120,-90,-120,-99,-120,-120,-120
Lobby4,-120,-120,-120,-120,-102,-120,-120,-99,-120,-120,-90,-120,-99,-120,-120,-120
Lobby4,-120,-120,-120,-120,-102,-120,-120,-99,-120,-120,-90,-120,-99,-120,-120,-120
Lobby4,-120,-120,-120,-120,-102,-120,-120,-99,-120,-120,-90,-120,-99,-120,-120,-120
Room404,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-102,-95,-120,-83,-120
Room404,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-102,-95,-120,-83,-120
MensRestroom4,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-92,-80,-81,-120,-96,-120
MensRestroom4,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-92,-80,-81,-120,-96,-120
Kitchen4,-120,-120,-120,-120,-103,-97,-120,-100,-120,-120,-81,-100,-97,-120,-120,-120
Kitchen4,-120,-120,-120,-120,-103,-97,-120,-100,-120,-120,-81,-100,-97,-120,-120,-120
MensBathroom5,-89,-120,-120,-120,-98,-120,-120,-100,-120,-120,-120,-120,-120,-120,-120,-93
MensBathroom5,-89,-120,-120,-120,-98,-120,-120,-100,-120,-120,-120,-120,-120,-120,-120,-93
Kitchen5,-120,-120,-120,-120,-120,-95,-120,-120,-120,-120,-91,-100,-120,-97,-120,-120
Kitchen5,-120,-120,-120,-120,-120,-95,-120,-120,-120,-120,-91,-100,-120,-97,-120,-120
Lobby5,-99,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-101,-120,-120,-120,-100
Lobby5,-99,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-101,-120,-120,-120,-100
Lobby5,-99,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-101,-120,-120,-120,-100
Lobby5,-99,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-101,-120,-120,-120,-100
mensbathroom6,-96,-120,-120,-120,-120,-99,-120,-120,-102,-120,-120,-120,-98,-98,-100,-120
mensbathroom6,-96,-120,-120,-120,-120,-99,-120,-120,-102,-120,-120,-120,-98,-98,-100,-120
mensbathroom6,-96,-120,-120,-120,-120,-99,-120,-120,-102,-120,-120,-120,-98,-98,-100,-120
mensbathroom6,-96,-120,-120,-120,-120,-99,-120,-120,-102,-120,-120,-120,-98,-98,-100,-120
lobby6,-91,-120,-120,-120,-120,-96,-120,-120,-120,-120,-120,-120,-120,-98,-120,-120
lobby6,-91,-120,-120,-120,-120,-96,-120,-120,-120,-120,-120,-120,-120,-98,-120,-120
lobby6,-91,-120,-120,-120,-120,-96,-120,-120,-120,-120,-120,-120,-120,-98,-120,-120
MR6,-87,-120,-120,-120,-97,-120,-120,-96,-120,-120,-120,-120,-120,-120,-120,-96
MR6,-87,-120,-120,-120,-97,-120,-120,-96,-120,-120,-120,-120,-120,-120,-120,-96
MR6,-87,-120,-120,-120,-97,-120,-120,-96,-120,-120,-120,-120,-120,-120,-120,-96
mensbathroom6,-96,-120,-120,-120,-120,-99,-120,-120,-102,-120,-120,-120,-98,-98,-100,-120
mensbathroom6,-96,-120,-120,-120,-120,-99,-120,-120,-102,-120,-120,-120,-98,-98,-100,-120
kitchen7,-89,-120,-120,-120,-120,-95,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
kitchen7,-89,-120,-120,-120,-120,-95,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
MR7,-76,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-94
MR7,-76,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-94
Kitchen14,-120,-101,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
Kitchen14,-120,-101,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
WestLounge14,-120,-120,-98,-92,-120,-120,-92,-120,-120,-120,-120,-120,-120,-120,-120,-120
WestLounge14,-120,-120,-98,-92,-120,-120,-92,-120,-120,-120,-120,-120,-120,-120,-120,-120
WestLounge14,-120,-120,-98,-92,-120,-120,-92,-120,-120,-120,-120,-120,-120,-120,-120,-120
WestLounge14,-120,-120,-98,-92,-120,-120,-92,-120,-120,-120,-120,-120,-120,-120,-120,-120
MR14,-120,-120,-96,-94,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
StudyLoungeA,-120,-100,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
StudyLoungeA,-120,-100,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
StudyLoungeA,-120,-100,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
StudyLoungeA,-120,-100,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
MR13,-120,-120,-78,-84,-120,-120,-93,-120,-120,-120,-120,-120,-120,-120,-120,-120
MR13,-120,-120,-78,-84,-120,-120,-93,-120,-120,-120,-120,-120,-120,-120,-120,-120
MR13,-120,-120,-78,-84,-120,-120,-93,-120,-120,-120,-120,-120,-120,-120,-120,-120
lobby13,-120,-92,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
lobby13,-120,-92,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
lobby13,-120,-92,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
lobby13,-120,-92,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
kitchen13,-120,-100,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
kitchen13,-120,-100,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
kitchen13,-120,-100,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
mensbathroom13,-120,-99,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
mensbathroom12,-120,-99,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
mensbathroom12,-120,-99,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
kitchen12,-120,-97,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
kitchen12,-120,-97,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
MR12,-120,-100,-80,-83,-120,-120,-94,-120,-120,-120,-120,-120,-120,-120,-120,-120
MR12,-120,-100,-80,-83,-120,-120,-94,-120,-120,-120,-120,-120,-120,-120,-120,-120
MR12,-120,-100,-80,-83,-120,-120,-94,-120,-120,-120,-120,-120,-120,-120,-120,-120
lobby12,-120,-98,-99,-103,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
lobby12,-120,-98,-99,-103,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
lobby12,-120,-98,-99,-103,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
MR11,-120,-120,-98,-99,-120,-120,-95,-120,-120,-120,-120,-120,-120,-120,-120,-120
MR11,-120,-120,-98,-99,-120,-120,-95,-120,-120,-120,-120,-120,-120,-120,-120,-120
lobby11,-120,-93,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
lobby11,-120,-93,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
lobby11,-120,-93,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
lobby11,-120,-93,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
kitchen11,-120,-98,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
kitchen11,-120,-98,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
mensbathroom10,-120,-120,-120,-120,-120,-120,-120,-120,-92,-84,-120,-120,-120,-120,-120,-120
kitchen10,-120,-120,-120,-120,-120,-120,-120,-120,-99,-101,-120,-120,-120,-120,-120,-120
kitchen10,-120,-120,-120,-120,-120,-120,-120,-120,-99,-101,-120,-120,-120,-120,-120,-120
lobby10,-120,-120,-120,-120,-120,-120,-120,-120,-100,-100,-120,-120,-120,-120,-120,-120
lobby10,-120,-120,-120,-120,-120,-120,-120,-120,-100,-100,-120,-120,-120,-120,-120,-120
lobby10,-120,-120,-120,-120,-120,-120,-120,-120,-100,-100,-120,-120,-120,-120,-120,-120
lobby10,-120,-120,-120,-120,-120,-120,-120,-120,-100,-100,-120,-120,-120,-120,-120,-120
MR10,-120,-120,-91,-98,-120,-120,-94,-120,-120,-120,-120,-120,-120,-120,-120,-120
MR10,-120,-120,-91,-98,-120,-120,-94,-120,-120,-120,-120,-120,-120,-120,-120,-120
MR9,-120,-120,-120,-120,-120,-120,-120,-120,-94,-92,-120,-120,-120,-120,-120,-120
MR9,-120,-120,-120,-120,-120,-120,-120,-120,-94,-92,-120,-120,-120,-120,-120,-120
kitchen9,-120,-120,-120,-120,-120,-120,-120,-120,-98,-99,-120,-120,-120,-120,-120,-120
kitchen9,-120,-120,-120,-120,-120,-120,-120,-120,-98,-99,-120,-120,-120,-120,-120,-120
lobby9,-94,-120,-120,-120,-120,-120,-120,-120,-93,-92,-120,-120,-120,-120,-120,-120
lobby9,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
